origin,dest,count
270170705011,270170706001,3
270170705011,270170706003,6
270170705012,270170705011,2077
270170705012,270170705012,3890
270170705012,270170705022,54
270170705012,270170705023,2
270170705021,270170704012,5
270170705021,270170704022,40
270170705021,270170705021,468
270170705021,270170705022,4
270170705021,270170705023,76
270170705021,270170706001,1
270170705021,270170706002,2
270170705021,270179400002,7
270170705021,270179400003,14
270170705022,270170704022,16
270170705022,270170704023,6
270170705022,270170705011,18
270170705022,270170705012,58
270170705022,270170705021,2
270170705022,270170705022,127
270170705022,270170705023,20
270170705023,270170705011,3
270170705023,270170705012,3
270170705023,270170705021,75
270170705023,270170705022,19
270170705023,270170705023,1157
270170705023,270170706001,22
270170706001,270170705011,2
270170706001,270170705021,4
270170706001,270170705023,27
270170706001,270170706001,54
270170706001,270170706002,3
270170706001,270170706003,2
270170706002,270170705021,5
270170706002,270170706001,2
270170706002,270170706002,150
270170706002,270170706004,107
270170706002,270179400003,10
270170706003,270170705011,12
270170706003,270170706003,96
270170706004,270170706002,142
270170706004,270170706004,641
270179400001,270170701001,6
270179400001,270170701002,4
270179400001,270170701004,3
270179400001,270170701005,7
270179400001,270170702002,18
270179400001,270170702003,4
270179400001,270170702004,31
270179400001,270170704011,107
270179400001,270179400001,247
270179400001,270179400002,106
270179400001,270179400003,14
270179400001,271370112003,7
270179400002,270170701001,7
270179400002,270170701002,14
270179400002,270170701003,4
270179400002,270170701004,21
270179400002,270170701005,20
270179400002,270170702001,3
270179400002,270170702002,62
270179400002,270170702003,14
270179400002,270170702004,44
270179400002,270170704011,205
270179400002,270170704012,70
270179400002,270170705021,7
270179400002,270179400001,99
270179400002,270179400002,488
270179400002,270179400003,41
270179400003,270170705021,13
270179400003,270170706002,6
270179400003,270179400001,5
270179400003,270179400002,32
270179400003,270179400003,479
271370001001,271370001001,387
271370001001,271370001002,106
271370001001,271370001003,224
271370001001,271370004001,45
271370001001,271370004002,10
271370001001,271370004003,5
271370001001,271370004004,31
271370001001,271370005001,41
271370001001,271370005002,25
271370001001,271370005003,22
271370001001,271370007001,7
271370001001,271370007002,36
271370001001,271370007003,16
271370001001,271370010001,3
271370001001,271370011001,10
271370001001,271370104001,34
271370001001,271370104002,15
271370001001,271370157001,113
271370001001,271370157002,6
271370001001,271370157003,45
271370001002,271370001001,128
271370001002,271370001002,312
271370001002,271370001003,154
271370001002,271370004001,34
271370001002,271370004002,6
271370001002,271370004004,9
271370001002,271370005001,22
271370001002,271370005002,11
271370001002,271370005003,19
271370001002,271370007001,1
271370001002,271370007002,14
271370001002,271370007003,6
271370001002,271370010001,2
271370001002,271370104001,39
271370001002,271370104002,7
271370001002,271370157001,56
271370001002,271370157002,2
271370001002,271370157003,42
271370001003,271370001001,241
271370001003,271370001002,142
271370001003,271370001003,608
271370001003,271370002002,3
271370001003,271370002003,4
271370001003,271370002004,1
271370001003,271370004001,59
271370001003,271370004002,7
271370001003,271370005001,40
271370001003,271370005002,48
271370001003,271370005003,23
271370001003,271370006003,3
271370001003,271370006004,7
271370001003,271370006005,1
271370001003,271370007001,2
271370001003,271370007002,2
271370001003,271370010001,4
271370001003,271370104001,133
271370001003,271370104002,27
271370001003,271370105002,36
271370001003,271370157001,67
271370001003,271370157003,36
271370002001,271370002001,162
271370002001,271370002002,81
271370002001,271370002003,155
271370002001,271370002004,9
271370002001,271370005002,1
271370002001,271370006001,12
271370002001,271370006002,33
271370002001,271370006003,29
271370002001,271370006004,33
271370002001,271370006005,96
271370002001,271370007001,44
271370002001,271370007002,5
271370002001,271370007003,8
271370002001,271370011001,5
271370002001,271370014003,1
271370002001,271370105002,1
271370002002,271370001003,3
271370002002,271370002001,82
271370002002,271370002002,311
271370002002,271370002003,337
271370002002,271370002004,15
271370002002,271370005001,2
271370002002,271370005002,16
271370002002,271370005003,1
271370002002,271370006001,44
271370002002,271370006002,32
271370002002,271370006003,45
271370002002,271370006004,114
271370002002,271370006005,92
271370002002,271370007001,43
271370002002,271370007002,4
271370002002,271370007003,1
271370002002,271370105002,4
271370002003,271370001003,4
271370002003,271370002001,129
271370002003,271370002002,340
271370002003,271370002003,931
271370002003,271370002004,74
271370002003,271370005002,10
271370002003,271370005003,1
271370002003,271370006001,40
271370002003,271370006002,46
271370002003,271370006003,56
271370002003,271370006004,140
271370002003,271370006005,172
271370002003,271370007001,66
271370002003,271370007002,11
271370002003,271370007003,6
271370002003,271370105002,6
271370002004,271370002001,11
271370002004,271370002002,20
271370002004,271370002003,89
271370002004,271370002004,347
271370002004,271370005002,2
271370002004,271370006001,5
271370002004,271370006002,12
271370002004,271370006003,3
271370002004,271370006004,11
271370002004,271370006005,14
271370002004,271370007001,2
